most_info_gvm_print,most_info_gv_emails,most_info_gvm_website,most_info_gv_publications,most_info_media,most_info_wordofmouth_alumni,most_info_socialmedia,most_info_lanthorn,most_info_other,info_text,where_read,num_issues,website_enjoy_likert,website_navigate_likert,website_design_likert,website_connected_likert,website_proud_likert,print_enjoy_likert,print_design_likert,print_connected_likert,print_proud_likert,gvsu_engagement,num_articles,drive_to_website,website_only,website_engagment,website_engagment_text,action_saved_article,action_discussed_article,action_recommended_gv,action_attended_event,action_donated,action_visited_website,action_contacted_classmate,action_shared_article_social_media,action_shared_article_email,action_none,opting,comments,age,relation_alumni,relation_undergrad,relation_grad,relation_family_undergrad,relation_faculty,relation_family_faculty,relation_donor,relation_other,relation_text,avid_reader,key_pop,num_actions
NA,1,NA,NA,NA,NA,1,NA,NA,NA,GVM Website,1,4,3,3,4,3,4,4,3,4,Neutral,4,Email,Yes,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,50-65,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Alumni over 35,1
1,1,NA,NA,NA,1,1,NA,NA,NA,GVM Website,1,4,5,5,5,5,4,4,5,5,Agree,6,Email,I don't know/I'm not sure,Larger variety of content,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,NA,25-35,NA,NA,1,NA,NA,NA,NA,NA,NA,5-10+,Other,1
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,GVM Website,3,5,5,3,4,5,3,3,3,3,Neutral,7,Email,Yes,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Yes,NA,66+,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+,Alumni over 35,1
1,1,NA,NA,NA,NA,1,1,NA,NA,Both,1,1,1,1,1,1,1,1,1,1,Agree,4,Word of Mouth,Yes,It is currently engaging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,36-49,1,NA,NA,NA,1,NA,NA,NA,NA,0-4 Articles,Alumni over 35,1
1,NA,1,NA,NA,NA,NA,NA,NA,NA,GVM Website,2,4,3,4,4,3,3,3,3,3,Neutral,8,Link within printed Issue,Yes,I don't know/I'm not sure,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,Yes,NA,50-65,NA,NA,NA,1,NA,NA,NA,NA,NA,5-10+,Other,2
1,1,1,NA,NA,1,1,NA,NA,NA,Both,3,5,4,5,5,5,5,5,5,5,Agree,15,Email,Yes,Larger variety of content,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,Yes,NA,25-35,1,NA,NA,NA,1,NA,NA,NA,NA,5-10+,Other,3
NA,1,NA,1,NA,NA,1,NA,NA,NA,Both,3,4,5,3,3,3,5,5,4,3,Neutral,4,Email,Yes,I don't know/I'm not sure,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,Yes,NA,36-49,1,NA,NA,1,1,NA,NA,NA,NA,0-4 Articles,Alumni over 35,3
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,GVM Website,0,3,4,4,4,4,3,4,4,4,Neutral,5,Email,Yes,Larger variety of content,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,50-65,NA,NA,NA,1,NA,NA,NA,NA,NA,5-10+,Other,1
NA,NA,NA,NA,NA,NA,NA,NA,1,I don't need information about GVSU,I don't read the GVM,0,1,1,1,1,1,1,1,1,1,Disagree,0,Word of Mouth,I don't know/I'm not sure,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,50-65,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Alumni over 35,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Both,3,3,5,5,5,5,3,5,5,5,Agree,15,Email,Yes,I don't know/I'm not sure,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+,Alumni over 35,1
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,3,4,4,4,4,4,4,4,4,4,Neutral,1,Email,Yes,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,No,NA,36-49,1,NA,NA,NA,NA,NA,1,NA,NA,0-4 Articles,Alumni over 35,1
NA,NA,NA,NA,NA,NA,NA,NA,1,GVSU website,GVM Website,0,5,5,5,4,4,3,3,3,3,Agree,15,Email,Yes,Easier navigation,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,No,NA,36-49,NA,NA,NA,NA,1,NA,NA,NA,NA,5-10+,Other,2
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,GVM Website,0,4,5,4,4,5,3,4,4,4,Neutral,15,Email,No,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,No,66+,NA,NA,NA,NA,NA,NA,1,NA,NA,5-10+,Other,1
1,1,NA,NA,NA,NA,NA,1,NA,NA,Both,3,3,3,3,3,3,5,5,5,5,Agree,2,Email,No,I don't use the website,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,Yes,NA,50-65,NA,NA,NA,1,NA,1,1,NA,NA,0-4 Articles,Other,3
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,I don't read the GVM,1,4,3,3,2,3,4,3,3,3,Agree,2,Email,Yes,I don't know/I'm not sure,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,No,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Alumni over 35,2
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,3,3,2,4,4,3,4,4,4,4,Disagree,4,Social Media,I don't know/I'm not sure,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Alumni over 35,1
1,1,NA,NA,NA,NA,1,NA,NA,NA,Print issues,2,1,3,3,3,1,5,4,4,5,Neutral,0,Email,I don't know/I'm not sure,I don't use the website,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,Yes,NA,66+,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Alumni over 35,2
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,I don't read the GVM,0,3,3,3,3,3,3,3,3,3,Neutral,1,Email,Yes,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,50-65,NA,NA,NA,NA,1,NA,NA,NA,NA,0-4 Articles,Other,1
NA,1,NA,NA,1,1,1,NA,NA,NA,Print issues,2,3,3,3,3,3,4,4,3,3,Disagree,0,Email,I don't know/I'm not sure,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Other,1
NA,NA,1,NA,NA,NA,NA,NA,NA,NA,GVM Website,0,3,4,3,3,4,1,5,4,3,Disagree,15,Email,Yes,It is currently engaging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,66+,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+,Alumni over 35,1
1,NA,NA,NA,NA,1,1,NA,NA,NA,Print issues,2,3,3,3,4,4,4,4,4,4,Neutral,3,Social Media,I don't know/I'm not sure,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,Yes,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Alumni over 35,2
1,1,NA,NA,1,NA,1,NA,NA,NA,Print issues,2,2,3,3,3,3,5,5,5,5,Agree,0,Link within printed Issue,I don't know/I'm not sure,I don't use the website,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,Yes,"I like receiving the magazine in the mail! It's more exciting to receive and read than just another email or link. Everything is digital now, so it's nice to have a real object in front of me to look through. I also share the magazine with my parents for them to read.",25-35,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Other,3
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,I don't read the GVM,0,2,3,2,2,2,2,2,2,2,Disagree,3,Email,No,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,50-65,NA,NA,NA,NA,1,NA,NA,NA,NA,0-4 Articles,Other,1
1,1,1,NA,NA,NA,NA,NA,NA,NA,Both,3,5,5,4,4,5,4,4,4,5,Neutral,6,Link within printed Issue,Yes,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,No,NA,66+,1,1,NA,NA,NA,NA,NA,1,Past Donor,5-10+,Alumni over 35,1
NA,NA,1,NA,NA,NA,1,NA,NA,NA,GVM Website,0,4,4,4,4,4,3,3,3,3,Disagree,3,Link within printed Issue,Yes,It is currently engaging,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,No,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Alumni over 35,1
NA,NA,NA,NA,NA,NA,NA,NA,1,This is the first I knew that there was such a publication,I don't read the GVM,0,2,3,3,3,3,2,3,3,3,Disagree,0,Word of Mouth,I don't know/I'm not sure,Other,change the behavior of your students,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,"I have been told by many locals that GVSU students spent the entire GVSU/FSU game chanting ""FU, Ferris."" Why would I want to be associated with your university?",66+,NA,NA,NA,NA,NA,NA,1,NA,NA,0-4 Articles,Other,1
NA,1,1,NA,NA,NA,1,NA,NA,NA,Print issues,2,4,4,4,4,5,4,4,5,4,Neutral,5,Link within printed Issue,No,It is currently engaging,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,No,No,50-65,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+,Alumni over 35,2
NA,1,1,1,NA,NA,NA,1,NA,NA,Both,3,5,5,5,5,5,5,5,5,5,Agree,15,Link within printed Issue,Yes,It is currently engaging,NA,1,1,1,1,1,1,NA,NA,1,NA,No,NA,36-49,NA,NA,NA,NA,1,NA,NA,NA,NA,5-10+,Other,7
NA,1,NA,NA,NA,1,1,NA,NA,NA,GVM Website,1,4,4,4,4,5,3,3,3,3,Agree,8,Email,Yes,I don't know/I'm not sure,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,No,NA,50-65,1,NA,NA,1,1,NA,NA,NA,NA,5-10+,Alumni over 35,4
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,GVM Website,0,5,5,5,5,5,3,3,3,3,Neutral,15,Email,Yes,It is currently engaging,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,No,"I really enjoyed this months article ""Water in the West"".  Living in Las Vegas is so different than Michigan.  It's great the group of students got to experience what we live with daily.",66+,1,NA,NA,NA,NA,NA,1,NA,NA,5-10+,Alumni over 35,1
NA,NA,NA,NA,NA,1,1,NA,NA,NA,I don't read the GVM,1,3,3,3,4,3,3,4,4,3,Agree,1,Social Media,No,Larger variety of content,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,No,No,25-35,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Other,2
NA,NA,NA,1,NA,NA,NA,NA,NA,NA,I don't read the GVM,0,1,1,1,1,1,1,1,1,1,Disagree,15,Link within printed Issue,I don't know/I'm not sure,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,50-65,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+,Alumni over 35,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,GVM Website,0,3,3,3,4,3,3,3,3,3,Neutral,2,Email,No,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,"I only receive the GVM through email because I have a current student at GVSU.  I don't tend to read the articles unless something particularly interesting to me is in the headlines, or it is something that applies to current students.",50-65,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 Articles,Other,1
NA,1,NA,NA,NA,NA,1,NA,NA,NA,Both,2,4,5,5,5,5,5,5,5,5,Neutral,5,Email,No,It is currently engaging,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,No,NA,36-49,1,NA,NA,1,NA,NA,NA,NA,NA,5-10+,Alumni over 35,1
NA,1,NA,NA,NA,NA,NA,1,NA,NA,GVM Website,1,4,4,4,4,4,3,3,3,3,Neutral,2,Email,Yes,Larger variety of content,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,25-35,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Other,1
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,3,3,3,3,4,4,5,5,5,5,Neutral,3,Email,Yes,Larger variety of content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,66+,NA,NA,NA,NA,1,NA,NA,1,Retired,0-4 Articles,Other,1
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Print issues,2,3,3,4,3,4,2,4,3,2,Disagree,1,Social Media,Yes,I don't use the website,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Alumni over 35,1
1,NA,NA,1,1,NA,NA,NA,NA,NA,Both,3,4,5,5,5,5,5,5,5,5,Neutral,15,Link within printed Issue,No,I don't know/I'm not sure,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,Yes,NA,66+,1,NA,NA,NA,NA,NA,1,NA,NA,5-10+,Alumni over 35,2
NA,1,1,NA,NA,NA,NA,NA,NA,NA,GVM Website,3,4,4,4,4,4,3,3,3,3,Neutral,5,Email,Yes,Larger variety of content,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,No,NA,36-49,1,NA,NA,1,NA,NA,NA,NA,NA,5-10+,Alumni over 35,2
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,GVM Website,0,3,3,4,4,3,3,4,4,3,Neutral,1,Email,Yes,It is currently engaging,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,50-65,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 Articles,Other,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Both,1,4,4,5,5,5,4,4,4,5,Neutral,3,Email,Yes,More specific recommendations,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,25-35,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Other,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,I don't read the GVM,0,3,5,5,3,4,4,5,3,3,Neutral,3,Email,No,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,The pictures associated with the articles are amazing!,17-24,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Other,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,I don't read the GVM,0,3,3,3,3,3,3,3,3,3,Agree,0,Email,Yes,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,50-65,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 Articles,Other,1
NA,1,1,NA,NA,NA,NA,NA,NA,NA,GVM Website,3,5,5,5,5,5,3,3,3,3,Neutral,4,Email,Yes,Other,more historical content,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,66+,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Alumni over 35,1
1,1,NA,NA,1,1,1,NA,NA,NA,Both,2,4,3,4,4,4,5,5,5,5,Agree,8,Social Media,No,Larger variety of content,NA,NA,1,NA,1,1,1,NA,1,1,NA,Yes,NA,36-49,1,NA,NA,NA,1,NA,1,NA,NA,5-10+,Alumni over 35,6
1,1,NA,NA,NA,NA,NA,NA,NA,NA,Both,3,4,4,4,4,4,5,5,5,5,Neutral,5,Email,No,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,50-65,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+,Alumni over 35,1
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,I don't read the GVM,0,4,4,5,4,4,4,5,4,4,Agree,0,Link within printed Issue,I don't know/I'm not sure,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,36-49,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 Articles,Other,1
NA,1,1,NA,NA,NA,NA,NA,NA,NA,GVM Website,0,5,4,5,5,5,3,3,3,3,Agree,15,Email,Yes,Larger variety of content,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,No,"I answered ""neutral"" on questions about the printed magazine as I no longer receive it.  The printed magazine is very high quality.  But the on line version can be read anywhere, anytime.",66+,1,NA,NA,NA,NA,NA,1,NA,NA,5-10+,Alumni over 35,3
NA,1,1,NA,NA,NA,NA,NA,NA,NA,GVM Website,0,5,5,5,4,5,3,3,3,3,Neutral,8,Email,Yes,I don't know/I'm not sure,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,66+,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+,Alumni over 35,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Both,2,3,3,5,3,5,3,5,4,5,Disagree,1,Email,Yes,More specific recommendations,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,36-49,NA,NA,NA,NA,1,NA,NA,NA,NA,0-4 Articles,Other,1
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Print issues,3,3,3,4,3,3,5,5,4,4,Neutral,2,Social Media,I don't know/I'm not sure,I don't use the website,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,50-65,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 Articles,Other,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,I don't read the GVM,0,3,3,3,3,3,3,3,3,3,Neutral,1,Email,No,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,66+,1,NA,NA,NA,NA,NA,1,NA,NA,0-4 Articles,Alumni over 35,1
1,1,NA,NA,NA,NA,NA,NA,NA,NA,GVM Website,1,5,5,5,3,3,3,3,3,3,Neutral,3,Email,Yes,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,66+,NA,NA,NA,NA,NA,NA,NA,1,NA,0-4 Articles,Other,1
1,1,NA,NA,1,NA,NA,NA,NA,NA,Print issues,2,3,3,3,3,3,5,5,5,5,Neutral,1,Email,No,I don't use the website,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,Yes,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Alumni over 35,4
1,NA,1,NA,NA,NA,NA,NA,NA,NA,Print issues,2,3,3,3,3,3,5,4,5,5,Neutral,15,Link within printed Issue,No,Larger variety of content,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,Yes,NA,50-65,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+,Alumni over 35,2
NA,1,NA,1,NA,NA,NA,NA,NA,NA,GVM Website,0,5,5,4,3,3,1,1,1,1,Agree,6,Email,Yes,Larger variety of content,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,No,No more printed issues of the magazine.,25-35,NA,NA,NA,1,1,NA,NA,NA,NA,5-10+,Other,3
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,GVM Website,0,3,3,4,4,4,3,3,3,3,Agree,3,Word of Mouth,No,I don't know/I'm not sure,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,NA,25-35,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Other,1
1,1,1,NA,NA,1,1,NA,NA,NA,Both,3,5,3,5,5,5,5,5,5,5,Agree,15,Email,Yes,Easier navigation,NA,1,1,1,NA,NA,1,NA,1,1,NA,Yes,NA,36-49,NA,NA,NA,NA,1,NA,NA,NA,NA,5-10+,Other,6
NA,1,NA,NA,NA,1,1,NA,NA,NA,I don't read the GVM,1,4,4,4,5,4,3,4,5,4,Agree,3,Email,Yes,Easier navigation,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,No,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Other,2
NA,1,NA,1,NA,1,1,NA,1,GV Now - daily email (I'm a staff member and alum),GVM Website,0,2,4,4,4,5,1,4,4,3,Neutral,1,Link within printed Issue,No,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,I haven't read much on the website since the email shifted to being only headers and links to the website. I personally liked it more when the email had some content so I could get a brief overview. I'm not going to click on each link so I can read two sentences about each item...,25-35,1,NA,NA,NA,1,NA,NA,NA,NA,0-4 Articles,Other,1
1,1,1,1,NA,1,1,NA,NA,NA,Both,3,4,4,4,5,5,5,5,5,5,Agree,15,Email,Yes,More specific recommendations,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,Yes,NA,36-49,NA,NA,1,NA,NA,1,NA,NA,NA,5-10+,Other,3
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,I don't read the GVM,0,3,5,3,4,2,4,5,3,3,Neutral,1,Word of Mouth,I don't know/I'm not sure,Larger variety of content,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,No,"This is a great survey, allowed me to answer honestly without feeling pressured to answer a certain way.",17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Other,2
1,1,NA,NA,NA,NA,1,NA,NA,NA,Both,3,4,4,4,3,4,5,4,3,4,Agree,5,Email,No,It is currently engaging,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,Yes,None at this time,50-65,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+,Alumni over 35,4
NA,NA,NA,NA,1,1,NA,NA,NA,NA,I don't read the GVM,0,3,3,4,3,3,3,4,3,3,Neutral,0,Word of Mouth,Yes,Larger variety of content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,17-24,NA,NA,1,NA,NA,NA,NA,NA,NA,0-4 Articles,Other,1
NA,1,1,1,1,NA,NA,NA,NA,NA,GVM Website,1,5,5,5,3,3,4,5,3,3,Neutral,15,Email,Yes,It is currently engaging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,50-65,NA,NA,NA,NA,1,NA,NA,NA,NA,5-10+,Other,1
1,1,NA,NA,NA,NA,NA,NA,NA,NA,Both,3,3,2,2,4,5,5,5,5,5,Agree,3,Email,No,Easier navigation,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,Yes,NA,25-35,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Other,2
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Both,1,5,5,5,5,5,5,5,5,5,Neutral,6,Email,Yes,It is currently engaging,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,Yes,NA,25-35,1,NA,1,NA,1,NA,NA,NA,NA,5-10+,Other,4
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Print issues,3,3,3,3,3,3,5,4,5,5,Neutral,0,Word of Mouth,Yes,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,66+,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Alumni over 35,1
1,NA,NA,NA,NA,1,NA,NA,NA,NA,Print issues,2,3,3,3,3,3,5,5,5,5,Neutral,0,Doing research,I don't know/I'm not sure,I don't use the website,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 Articles,Alumni over 35,2
1,1,NA,NA,NA,NA,NA,NA,NA,NA,Both,2,3,3,3,3,3,3,3,3,3,Neutral,4,Link within printed Issue,No,Larger variety of content,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,25-35,1,NA,NA,NA,1,NA,NA,NA,NA,0-4 Articles,Other,2
